3271,328
1504,151
1635,164
6600,661
2313,232
9955,996
8697,870
646,65
7149,715
5877,588
410,42
1587,159
1980,199
573,58
949,95
8172,818
2439,244
9775,978
205,21
5991,600
1324,133
9514,952
5432,544
3714,372
2934,294
1684,169
8023,803
7893,790
1161,117
8849,885
1792,180
1098,110
4351,436
1922,193
6810,682
9218,922
5021,503
7041,705
7069,707
6682,669
3592,360
5480,549
1080,109
9051,906
7508,751
3347,335
1717,172
6725,673
6650,666
1837,184
1290,130
2764,277
3517,352
4659,466
4863,487
8814,882
9355,936
7672,768
3920,393
1594,160
148,15
6264,627
9050,906
8193,820
5274,528
2784,279
2030,204
3149,315
4535,454
7325,733
2541,255
4698,470
6768,677
1908,191
7076,708
3860,387
3043,305
4624,463
1836,184
6141,615
1,1
6436,644
4791,480
2058,206
9000,901
9414,942
6862,687
870,88
714,72
4312,432
7191,720
4291,430
6064,607
7416,742
5336,534
4525,453
3643,365
9676,968
51,6
4387,439
4235,424
8760,877
91,10
41,5
7858,786
3768,377
8971,898
6647,665
8582,859
1799,180
9570,958
7084,709
5553,556
9131,914
2508,251
9193,920
3162,317
3301,331
3464,347
4943,495
1832,184
5050,506
6886,689
2554,256
4646,465
266,27
5210,522
5180,519
2741,275
4680,469
5910,592
6799,680
6179,618
765,77
3062,307
1026,103
7411,742
4468,447
6872,688
4946,495
4616,462
2837,284
1171,118
617,62
9120,913
9115,912
806,81
2196,220
4381,439
2170,218
2556,256
6016,602
7575,758
2448,245
6237,624
9097,910
8446,845
2053,206
9682,969
4067,407
454,46
9624,963
3165,317
569,57
5588,559
8425,843
1706,171
537,54
4197,420
5400,541
1070,108
7712,772
965,97
9370,938
2670,268
9267,927
8952,896
3414,342
4868,487
8021,803
8405,841
5141,515
6051,606
3134,314
4140,415
2915,292
8839,884
8741,875
4000,401
2705,271
5643,565
9525,953
4846,485
5133,514
9122,913
5907,591
584,59
4608,461
7063,707
6867,687
7028,703
2337,234
255,26
9254,926
7775,778
8376,838
6658,666
8723,873
4544,455
9141,915
222,23
2797,280
7213,722
5305,531
8638,864
7313,732
2366,237
2900,291
917,92
9423,943
1022,103
5750,576
9586,959
4400,441
8059,806
8705,871
5493,550
8968,897
5110,512
5111,512
1991,200
2712,272
2682,269
9869,987
1379,138
4405,441
2472,248
8880,889
4237,424
9215,922
1371,138
2591,260
9094,910
9877,988
7207,721
9730,974
4277,428
4085,409
1107,111
3369,337
8536,854
904,91
8533,854
4303,431
9181,919
2222,223
6450,646
7091,710
6002,601
1522,153
5410,542
9769,977
2199,220
4266,427
3763,377
4507,451
5008,501
9830,984
8874,888
9904,991
3003,301
7773,778
8815,882
8409,841
6028,603
586,59
7678,768
9291,930
9977,998
7839,784
3761,377
5174,518
2642,265
3521,353
9033,904
9688,969
7567,757
1209,121
1307,131
5939,594
3994,400
8014,802
4527,453
2308,231
7513,752
7121,713
5667,567
6539,654
8231,824
3621,363
4802,481
3577,358
2469,247
5706,571
4703,471
8789,879
6266,627
2561,257
1889,189
8821,883
6253,626
778,78
3929,393
3000,301
7520,753
8653,866
2233,224
9266,927
3529,353
4224,423
6331,634
2923,293
4274,428
7943,795
2993,300
9818,982
2171,218
956,96
3276,328
8078,808
6192,620
8890,890
2244,225
379,38
7255,726
5404,541
4141,415
2761,277
4957,496
7179,718
3951,396
4083,409
5038,504
8718,872
4365,437
4504,451
348,35
4451,446
468,47
1833,184
1322,133
5155,516
1747,175
4636,464
2983,299
7679,768
2794,280
5550,556
6027,603
1919,192
13,2
1221,123
8655,866
8743,875
5395,540
6193,620
5207,521
7392,740
1458,146
3357,336
2446,245
6065,607
3671,368
5664,567
3715,372
3975,398
6363,637
4421,443
789,79
9325,933
1520,153
7400,741
5383,539
9555,956
6489,649
1905,191
775,78
5787,579
3341,335
6623,663
9915,992
9258,926
5206,521
4015,402
4203,421
1052,106
3637,364
9012,902
3314,332
5284,529
9600,961
3708,371
2609,261
7801,781
4741,475
1200,121
1341,135
2271,228
9157,916
1736,174
6487,649
4782,479
9336,934
8930,894
8884,889
9040,905
2535,254
9860,987
3183,319
4578,458
5572,558
4694,470
9437,944
7373,738
4681,469
8487,849
7596,760
7277,728
2544,255
1398,140
8465,847
3303,331
6976,698
5866,587
9129,913
5909,591
9932,994
9687,969
7139,714
7975,798
3493,350
250,26
5137,514
1900,191
512,52
6756,676
3556,356
22,3
4925,493
3132,314
5292,530
599,60
9384,939
7646,765
9495,950
4542,455
7464,747
8602,861
7755,776
5520,553
2807,281
2611,262
1452,146
8297,830
4246,425
6835,684
3660,367
1325,133
8798,880
3281,329
5804,581
6511,652
123,13
6218,622
6789,679
4539,454
3052,306
90,10
9247,925
1932,194
7015,702
5034,504
3304,331
9281,929
2353,236
2615,262
6396,640
4192,420
5895,590
7608,761
1975,198
9340,935
4465,447
3424,343
315,32
4804,481
4211,422
804,81
4787,479
7851,786
6950,696
712,72
1300,131
3439,344
1962,197
6846,685
1388,139
5619,562
283,29
2795,280
7165,717
8089,809
3159,316
3832,384
9442,945
3504,351
4137,414
8734,874
4823,483
1115,112
492,50
473,48
910,92
3284,329
6652,666
233,24
4338,434
5708,571
7758,776
2276,228
6832,684
9195,920
6660,667
4677,468
3511,352
3164,317
4142,415
1340,135
7992,800
2628,263
8334,834
5376,538
5819,582
4284,429
3080,309
7516,752
9382,939
103,11
9756,976
1083,109
7140,715
7619,762
5995,600
8762,877
6678,668
6620,663
1866,187
8756,876
4079,408
3794,380
9996,1000
4161,417
7067,707
7961,797
126,13
6839,684
2844,285
8770,878
6120,613
5061,507
7541,755
6548,655
6624,663
3998,400
14,2
516,52
4455,446
1153,116
8304,831
8900,891
9143,915
7413,742
431,44
3505,351
5905,591
7350,736
3335,334
1690,170
6455,646
5577,558
2086,209
9983,999
8486,849
905,91
3158,316
8702,871
4072,408
2989,299
1748,175
3932,394
8189,819
7186,719
6453,646
5152,516
3971,398
6361,637
6947,695
4168,417
6692,670
7590,760
3007,301
5635,564
9038,904
3721,373
1108,111
7170,718
1392,140
7018,702
7493,750
3631,364
2514,252
9968,997
5194,520
4236,424
6733,674
7634,764
4177,418
5195,520
3718,372
791,80
1911,192
9024,903
8623,863
2122,213
5153,516
8794,880
8057,806
6796,680
9876,988
2305,231
8726,873
8904,891
3933,394
2489,249
4819,482
2142,215
4238,424
8496,850
1152,116
4162,417
2563,257
3331,334
5658,566
5406,541
727,73
4479,448
8278,828
529,53
3717,372
7407,741
6241,625
3769,377
2854,286
6992,700
2863,287
4315,432
6188,619
6788,679
4093,410
1946,195
7544,755
6946,695
4296,430
8353,836
2391,240
